Literal/Length Bit Codes

Code: 0         Count: 496      BitCode: 01001                  Bit Length: 5                   
Code: 1         Count: 203      BitCode: 011010                 Bit Length: 6                   
Code: 2         Count: 100      BitCode: 100000                 Bit Length: 6                   
Code: 3         Count: 105      BitCode: 0011100                Bit Length: 7                   
Code: 4         Count: 103      BitCode: 0110111                Bit Length: 7                   
Code: 5         Count: 39       BitCode: 10100110               Bit Length: 8                   
Code: 6         Count: 45       BitCode: 01110111               Bit Length: 8                   
Code: 7         Count: 25       BitCode: 001111111              Bit Length: 9                   
Code: 8         Count: 11       BitCode: 0111010001             Bit Length: 10                  
Code: 9         Count: 5        BitCode: 10000101110            Bit Length: 11                  
Code: 10        Count: 5        BitCode: 10000101111            Bit Length: 11                  
Code: 11        Count: 5        BitCode: 0011010110100          Bit Length: 13                  
Code: 12        Count: 3        BitCode:                        Bit Length: 0                   
Code: 13        Count: 6        BitCode: 10100111000            Bit Length: 11                  
Code: 14        Count: 6        BitCode:                        Bit Length: 0                   
Code: 15        Count: 3        BitCode: 101001110010           Bit Length: 12                  
Code: 17        Count: 3        BitCode: 0011010110101          Bit Length: 13                  
Code: 18        Count: 3        BitCode: 101001110100           Bit Length: 12                  
Code: 19        Count: 3        BitCode:                        Bit Length: 0                   
Code: 20        Count: 3        BitCode:                        Bit Length: 0                   
Code: 21        Count: 3        BitCode:                        Bit Length: 0                   
Code: 22        Count: 3        BitCode: 001101011011           Bit Length: 12                  
Code: 23        Count: 3        BitCode:                        Bit Length: 0                   
Code: 24        Count: 3        BitCode:                        Bit Length: 0                   
Code: 25        Count: 3        BitCode:                        Bit Length: 0                   
Code: 26        Count: 3        BitCode:                        Bit Length: 0                   
Code: 27        Count: 3        BitCode:                        Bit Length: 0                   
Code: 28        Count: 3        BitCode:                        Bit Length: 0                   
Code: 29        Count: 3        BitCode:                        Bit Length: 0                   
Code: 30        Count: 3        BitCode:                        Bit Length: 0                   
Code: 31        Count: 3        BitCode:                        Bit Length: 0                   
Code: 32        Count: 4        BitCode:                        Bit Length: 0                   
Code: 34        Count: 3        BitCode:                        Bit Length: 0                   
Code: 35        Count: 1        BitCode: 101001110110           Bit Length: 12                  
Code: 37        Count: 3        BitCode:                        Bit Length: 0                   
Code: 38        Count: 3        BitCode:                        Bit Length: 0                   
Code: 39        Count: 3        BitCode:                        Bit Length: 0                   
Code: 40        Count: 3        BitCode:                        Bit Length: 0                   
Code: 41        Count: 3        BitCode: 101001111000           Bit Length: 12                  
Code: 44        Count: 3        BitCode:                        Bit Length: 0                   
Code: 46        Count: 1        BitCode:                        Bit Length: 0                   
Code: 49        Count: 3        BitCode:                        Bit Length: 0                   
Code: 53        Count: 3        BitCode:                        Bit Length: 0                   
Code: 54        Count: 3        BitCode:                        Bit Length: 0                   
Code: 56        Count: 3        BitCode:                        Bit Length: 0                   
Code: 58        Count: 3        BitCode:                        Bit Length: 0                   
Code: 59        Count: 3        BitCode: 0011011111000          Bit Length: 13                  
Code: 60        Count: 3        BitCode:                        Bit Length: 0                   
Code: 61        Count: 3        BitCode: 001000101001           Bit Length: 12                  
Code: 62        Count: 3        BitCode:                        Bit Length: 0                   
Code: 63        Count: 3        BitCode: 101010000001           Bit Length: 12                  
Code: 65        Count: 3        BitCode:                        Bit Length: 0                   
Code: 66        Count: 5        BitCode:                        Bit Length: 0                   
Code: 68        Count: 3        BitCode:                        Bit Length: 0                   
Code: 69        Count: 3        BitCode:                        Bit Length: 0                   
Code: 71        Count: 4        BitCode:                        Bit Length: 0                   
Code: 73        Count: 3        BitCode: 101010000111           Bit Length: 12                  
Code: 77        Count: 1        BitCode: 101010001011           Bit Length: 12                  
Code: 78        Count: 3        BitCode:                        Bit Length: 0                   
Code: 79        Count: 3        BitCode:                        Bit Length: 0                   
Code: 80        Count: 3        BitCode:                        Bit Length: 0                   
Code: 81        Count: 3        BitCode:                        Bit Length: 0                   
Code: 82        Count: 4        BitCode: 101010001100           Bit Length: 12                  
Code: 85        Count: 3        BitCode:                        Bit Length: 0                   
Code: 87        Count: 3        BitCode: 101010001111           Bit Length: 12                  
Code: 90        Count: 3        BitCode:                        Bit Length: 0                   
Code: 92        Count: 3        BitCode:                        Bit Length: 0                   
Code: 93        Count: 3        BitCode:                        Bit Length: 0                   
Code: 94        Count: 3        BitCode:                        Bit Length: 0                   
Code: 95        Count: 3        BitCode: 101010010101           Bit Length: 12                  
Code: 96        Count: 3        BitCode:                        Bit Length: 0                   
Code: 97        Count: 1        BitCode: 0011011111001          Bit Length: 13                  
Code: 101       Count: 3        BitCode:                        Bit Length: 0                   
Code: 102       Count: 3        BitCode: 101010011001           Bit Length: 12                  
Code: 104       Count: 3        BitCode:                        Bit Length: 0                   
Code: 105       Count: 3        BitCode:                        Bit Length: 0                   
